subset,parameter,volume_method,linear_a,linear_b,linear_r2,linear_rmse,linear_rrmse,exponential_a,exponential_b,exponential_c,exponential_r2,exponential_rmse,exponential_rrmse,power_a,power_b,power_c,power_r2,power_rmse,power_rrmse,log_a,log_b,log_c,log_r2,log_rmse,log_rrmse,poly2deg_a,poly2deg_b,poly2deg_c,poly2deg_r2,poly2deg_rmse,poly2deg_rrmse,best_r2,best_rmse,best_rrmse,best_equation
both_species,leaf_biomass,voxel_vol_001,680835.1999810488,-7.404304517866987,0.18277400352898476,109.46527734610659,1.202001526452677,1069315.3435598926,-111.31966015391258,-1069321.9396026763,-1.0817024173986702,174.7087346674222,1.9184180668622444,1828871.6909322666,0.5747796089608364,-94.85041667899843,-0.4769846583152497,147.1611886959095,1.6159276963030975,29905.66937871736,6257.3009617979105,-55.72990200425653,0.1923569603348534,108.8215787903143,1.1949332883282595,-1313365962.8137991,1396714.132357733,-61.616998920633954,-0.7484092337959789,160.1130906626907,1.7581481913493302,0.1923569603348534,108.8215787903143,1.1949332883282595,log
both_species,shoot_biomass,voxel_vol_02,961.3271549339419,-0.6749668192585246,0.8901867792918083,40.08192640901728,0.4135052609070848,12195.719924388866,-0.8368158104065548,-12193.00345336421,0.8799437440952207,41.90961482151694,0.4323606114747038,983.1055397538233,1.0190496242816867,0.19226399077878406,0.8735500318992035,43.01110833229149,0.4437241711228205,579423.7034475688,0.03908531096462266,-0.7989795094223231,0.8859422713952179,40.84920709513904,0.4214209133901044,335.9345657023196,850.7452942794258,2.2145825231622753,0.8783014643972022,42.195287270627034,0.4353077517742444,0.8901867792918083,40.08192640901728,0.4135052609070848,linear
both_species,shoot_biomass,voxel_vol_01,2978.520327008866,-1.6430303047550712,0.8593488579264228,45.36207405323234,0.46797791291908697,12563.154965077842,-4.541544199755904,-12559.220064816616,0.8447736199485408,47.65451309982903,0.49162786418149174,3619.9085076656993,1.081426405903233,2.1640535733371133,0.8381613975542797,48.658904995331696,0.5019896748530804,682475.6514781907,0.11956489030717954,-1.7535278706180304,0.8542001007319915,46.18488682438988,0.4764664622503545,5474.211930298649,2412.0410875065418,3.0189282344562915,0.8434975874483427,47.849983256357596,0.49364443237859085,0.8593488579264228,45.36207405323234,0.46797791291908697,linear
both_species,shoot_biomass,convh_vol,149.48255750838123,14.055978988474967,0.8093926308724904,52.80695374976538,0.5447830267731999,1217366.6127226136,-0.00012496964946817784,-1217352.5520563296,0.8093652055200724,52.810752651224696,0.5448222181464655,206.3957936116561,0.6384694017181866,-15.516172707427545,0.8514421510377954,46.6196568991282,0.48095176845432025,228.95276169858653,1.4938668159182082,-5.91630852576792,0.8523752564903218,46.473015101832125,0.4794389381069955,-42.612241134186455,242.54095879424725,-0.5168464288455287,0.8236441807328929,50.794439121622474,0.5240209162424462,0.8523752564903218,46.473015101832125,0.4794389381069955,log
both_species,shoot_biomass,voxel_vol_005,12667.454126683922,-3.3650244525318325,0.7207164080484547,63.92106209398374,0.6594417441144831,552842.7805556686,-1.2199353166312839,-552845.7915006109,0.6760606423800049,68.84194469482878,0.7102080377050474,9028.353098877325,0.8758235091506253,-12.245614374372044,0.6627304193193013,70.24410090720608,0.724673384617643,36304.442625597556,28.13621850055649,-10.228968217221905,0.692598683902947,67.06163430007865,0.6918414625368655,-162771.69963985597,16448.834336745575,-11.17112350066123,0.6247947332753607,74.08934148067497,0.7643428154318529,0.7207164080484547,63.92106209398374,0.6594417441144831,linear
both_species,shoot_biomass,voxel_vol_002,103652.19834030925,6.569051636099723,0.14814395468552544,111.63602818466515,1.1516932716773187,1245358.3494715656,-5.990656280665488,-1245351.524048836,-0.08603506661029314,126.05010038835468,1.300396071699907,30919.22164223985,0.48711378431759966,-89.91374574327438,-0.08160165876669012,125.79255668516039,1.2977391216547023,25836.31020565731,1537.533176331416,-40.568807296697706,0.18142257166949916,109.43371793354434,1.1289731342843419,-46742573.73854222,249572.2529206335,-49.14134388855604,-0.04551870612043318,123.67649690609014,1.2759087874010426,0.18142257166949916,109.43371793354434,1.1289731342843419,log
both_species,shoot_biomass,voxel_vol_001,606414.314896018,9.3617511059446,-0.1301496282610528,128.58468491923063,1.3265441172562986,1101898.3941868972,-38.49996756205058,-1101888.7194166025,-0.4450189311688131,145.3978685860355,1.499997354704906,284776.13252182154,0.36246699283562805,-187.32307960495555,-0.436369671036547,144.96207101520235,1.4955014483357578,20730.16224071567,14623.306091681594,-66.20978477201248,-0.08030406478093033,125.71707758016954,1.2969604413416909,-1923890860.0243027,1636970.9684142703,-68.05761244612751,-0.40324068209373043,143.28058805778508,1.4781544265902855,-0.08030406478093033,125.71707758016954,1.2969604413416909,log
tomato,aboveground_veg_biomass,convh_vol,383.823976053632,-0.10308028450875659,0.9166654994031709,58.5344897315762,0.35978840585247573,364576.81938822387,-0.036945438693535664,-364575.3170654685,0.9027494522411694,63.23324162307654,0.38866977921528556,391.68818814804547,0.9582075087041125,-5.985909263982317,0.8776805085809676,70.91649317409743,0.43589569405595346,270587.22734834754,0.11575011059808574,-3.2980301825395024,0.8609910295974889,75.59983219968223,0.46468233061516595,-9.850218485392762,395.4152670593547,-1.6176865265970803,0.7926277549857135,92.3367815503767,0.5675577524960811,0.9166654994031709,58.5344897315762,0.35978840585247573,linear
tomato,aboveground_veg_biomass,voxel_vol_002,316238.57151765993,-98.62669280594777,0.7338823644009105,104.60109871064795,0.6429416695712618,87.66446291831389,-1059.8791344206088,-95.41321920114771,0.8990589622529157,64.42186610597459,0.39597578478260526,427269262.28064907,2.1194190135027138,12.207776687995368,0.8793744465637032,70.42373873766662,0.43286692701667173,2634377.3273715666,0.12481994817075072,-98.63450693159598,0.7338247872376364,104.61241383599985,0.6430112191809201,158633237.13107762,-11617.606338297932,9.784476295809666,0.8835197570696888,69.20310042603941,0.4253641450794457,0.8990589622529157,64.42186610597459,0.39597578478260526,exponential
tomato,aboveground_veg_biomass,voxel_vol_02,1772.3474082828086,-4.402591625871783,0.8104849049950925,88.27166572312329,0.5425710899352526,72004.31502320278,-1.6551429609089539,-71993.38627044312,0.7711801499811054,96.99431192659704,0.5961857534738675,1995.4937296232958,1.1014101523990496,5.9428501235674975,0.7442192979655516,102.54944297715825,0.6303309515297213,1095317.4656798744,0.3362572231564297,-5.900275994466627,0.7632342707474843,98.66402725368677,0.6064488345823886,994.190056065837,1425.6354945492399,7.26586958060358,0.721342264532178,107.03725672157731,0.6579157713559773,0.8104849049950925,88.27166572312329,0.5425710899352526,linear
tomato,aboveground_veg_biomass,voxel_vol_005,24469.209486229258,-27.106130435878153,0.7857548368098768,93.85446344799072,0.5768863441185198,236.50445013080198,-62.18801066564914,-221.3383210341704,0.7996611400564168,90.75739402838178,0.5578498807546912,432601.28046061157,1.6576254143209834,25.667613025010418,0.7753211826508873,96.11263475498086,0.5907664318823241,1947645.5445648178,0.013798915643342647,-27.113177903280086,0.7856966467292582,93.86720825848616,0.576964681438484,668389.1323531677,8562.753228300417,15.865162064064284,0.8026244647340988,90.08367158243442,0.5537087747857828,0.8026244647340988,90.08367158243442,0.5537087747857828,poly2deg
tomato,aboveground_veg_biomass,voxel_vol_01,5345.516180866876,-6.28318738284789,0.79925103076971,90.85024027228766,0.5584205699712108,48414.32435966436,-7.388163899568364,-48398.64085413335,0.7614407720851204,99.03701188866717,0.6087414239231764,9738.033668057764,1.2248159380840171,14.81660176632032,0.7276924927605604,105.81061179998683,0.6503760691580098,1405084.5812762384,0.6355002956876203,-7.270695176471274,0.7627108086311671,98.77303451128427,0.6071188591716044,14975.297397629047,3668.1518735463296,12.269502885077696,0.7304510337099148,105.27330401938235,0.6470734502965092,0.79925103076971,90.85024027228766,0.5584205699712108,linear
tomato,aboveground_veg_biomass,voxel_vol_001,2154989.5868180976,-138.59845443121654,0.4022998234843521,156.76211356058258,0.963554840824065,12.574799779139791,-14698.762007816438,10.243586055803082,0.7104692163485348,109.10553698865382,0.6706286738440667,1.120979801023255e+17,2.773865804374644,422737.41603026603,0.5885299015218319,130.0674298107798,0.7994731557334294,2185002.322452489,1.034474229748936,-138.6058817017913,0.40223977633392194,156.76998781106582,0.9636032407339581,11481582810.33873,-1267750.137783677,52.46923192774125,0.5635657264345795,133.95497344300998,0.8233683520960537,0.7104692163485348,109.10553698865382,0.6706286738440667,exponential
