plot_id,date_dir,trial_dir,date,sample_id,species,scan_level,plants_per_group,group_proportion,s_priority,trial,npts,nnd,ch_vol,npts_vol
1033,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1033_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,215646,0.0016971965014245267,0.3965475945188769,543808.6196478859
1033,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1033_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,169520,0.0017311447237146314,0.38265680529191387,443007.9320572382
1033,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1033_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,235677,0.0014556215433577909,0.4687045901816629,502826.31093639415
1042,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_1042_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,238221,0.0014222483178062805,0.5697145496767295,418140.9797857061
1042,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1042_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,235185,0.0017266138257051923,0.5785249089716529,406525.2789513404
1042,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1042_07_23_2023,tomato,plot,3,1.0,1,Tomato_Fertilizer_Trial,179730,0.002044038954213735,0.5135511978687288,349974.8432987622
1042,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1042_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,181827,0.0016826818688316213,0.5197111083575741,349861.67714333045
1042,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1042_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,269073,0.001382804475845565,0.5296968170278574,507975.4896579813
1051,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_1051_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,194718,0.0017605562852969995,0.5658878289527401,344092.9280284305
1051,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1051_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,268838,0.0017218924023146786,0.5457379559236173,492613.7115477216
1051,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1051_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,204880,0.0020957872661107506,0.6034499063852483,339514.51119987847
1051,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1051_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,198809,0.0017005670349780895,0.4628982940948659,429487.4328468713
1051,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1051_08_24_2023,tomato,plot,3,1.0,2,Tomato_Fertilizer_Trial,203379,0.0017041195223229115,0.6074385160299788,334814.1328429735
1064,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_1064_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,161799,0.0013697221881266092,0.3804489160513987,425284.4289301141
1064,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1064_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,197197,0.0016162450424154593,0.401979186573589,490565.1998574304
1064,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1064_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,167778,0.002115144323070851,0.539321917177364,311090.63929405215
1064,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1064_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,180178,0.0017398197024505351,0.48731751250758865,369734.30130359664
1064,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1064_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,284694,0.0013461548729381122,0.53590743014006,531237.2697008416
1075,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_1075_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,137368,0.0017066634329670812,0.37830769512539686,363111.83137437084
1075,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1075_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,197382,0.0017160311486155392,0.44412888791348304,444425.04275571986
1075,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1075_07_23_2023,tomato,plot,3,1.0,3,Tomato_Fertilizer_Trial,213056,0.0017513376614839767,0.6034508813295014,353062.704176689
1075,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1075_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,180764,0.001761341113605416,0.4242055234716394,426123.6358278704
1075,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1075_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,283844,0.0014207830885048856,0.6243150640302214,454648.64834057546
2016,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_2016_06_25_2023,tomato,plot,3,1.0,2,Tomato_Fertilizer_Trial,226100,0.0017016395143059362,0.5607721247933124,403194.07831360237
2016,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2016_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,223896,0.002121370572207407,0.600697906132077,372726.4532045354
2016,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2016_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,224765,0.002136388506324575,0.7933163787599643,283323.28188071825
2016,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2016_08_10_2023,tomato,plot,3,1.0,3,Tomato_Fertilizer_Trial,222539,0.0020685487037412752,0.7040123768399539,316100.97680227394
2016,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2016_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,311373,0.0016843684952572626,0.7780154015078378,400214.4422803733
2027,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2027_07_07_2023,tomato,plot,3,1.0,1,Tomato_Fertilizer_Trial,181263,0.0013302248741769392,0.25363302596241666,714666.3937481847
2027,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2027_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,152385,0.0017673040701597117,0.39498510991562374,385799.35337955476
2027,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2027_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,149063,0.0017879291406121425,0.34385735879330004,433502.4282252018
2027,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2027_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,256324,0.0013770152609624462,0.46414831486577895,552245.8916480673
2035,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_2035_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,167714,0.002144918609417191,0.6228573981816306,269265.4859517189
2035,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2035_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,242809,0.001972801638671005,0.5653758011955221,429464.7904748759
2035,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2035_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,213114,0.0021044074711565725,0.5776226486739635,368950.21427785326
2035,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2035_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,180334,0.002091780101172846,0.6382073372380568,282563.34497880255
2035,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2035_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,284962,0.0017040437745764853,0.7340606455078752,388199.5332999266
2043,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_2043_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,182666,0.002115596594341686,0.6811543987163219,268171.21102681785
2043,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2043_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,212978,0.0020159904197546703,0.5735642446595465,371323.7043331013
2043,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2043_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,215719,0.0021059312797462345,0.5828159239830848,370132.302710145
2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2043_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,179663,0.002149730085247587,0.5882743152348338,305406.84056260413
2043,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2043_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,158047,0.0015939145770595118,0.3742299982412272,422325.8443811966
2051,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_2051_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,188985,0.00209968091939008,0.6201689984271371,304731.4530060367
2051,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2051_07_07_2023,tomato,plot,3,1.0,3,Tomato_Fertilizer_Trial,228540,0.0020323552806925556,0.576081094657325,396714.98009484983
2051,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2051_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,251105,0.0020978774874514006,0.7639954363521588,328673.4292536464
2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2051_08_10_2023,tomato,plot,3,1.0,1,Tomato_Fertilizer_Trial,239289,0.0017432285132279576,0.5147533485849384,464861.4732819274
2051,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2051_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,274525,0.0017792662409954632,0.7417810328232392,370088.9991149413
2062,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_2062_06_25_2023,tomato,plot,3,1.0,3,Tomato_Fertilizer_Trial,167460,0.0017910618073901275,0.5478295245181176,305679.0342712933
2062,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2062_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,198319,0.002129426603361073,0.48828825751217286,406151.48316372524
2062,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2062_07_23_2023,tomato,plot,3,1.0,2,Tomato_Fertilizer_Trial,282585,0.001753904025013193,0.6351032126893645,444943.4270744513
2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2062_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,194145,0.002108291656489533,0.5889540187660047,329643.7307733782
2062,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2062_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,258960,0.001765576523584959,0.6225121628275121,415991.87206845556
2074,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_2074_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,84298,0.0019719116449694075,0.45288014150337036,186137.5500373373
2074,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_2074_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,253448,0.0015852608553175887,0.4144657780828538,611505.2518264474
2074,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_2074_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,212978,0.002127983796658814,0.604829896421416,352128.75762279995
2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_2074_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,242904,0.0017863266662266775,0.5834429264027512,416328.6398853744
2074,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_2074_08_24_2023,tomato,plot,3,1.0,1,Tomato_Fertilizer_Trial,277535,0.0017112878259087948,0.6509144543025823,426377.07330890803
10171,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_10171_06_25_2023,tomato,plant,1,1.0,1,Tomato_Fertilizer_Trial,165145,0.0005690030667087164,0.06757951079242241,2443714.0497696153
10172,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_10172_06_25_2023,tomato,plant,1,1.0,1,Tomato_Fertilizer_Trial,175249,0.0004609917713167577,0.040511681081099454,4325888.122222646
10173,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_10173_06_25_2023,tomato,plant,1,1.0,1,Tomato_Fertilizer_Trial,211003,0.00039282830334350696,0.06518710454539944,3236882.5317750894
20271,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_20271_06_25_2023,tomato,plant,1,1.0,4,Tomato_Fertilizer_Trial,201467,0.0004227566998039643,0.04189179275456819,4809223.639110803
20272,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_20272_06_25_2023,tomato,plant,1,1.0,4,Tomato_Fertilizer_Trial,164316,0.00044910852098263305,0.06524778847914221,2518338.227701418
20273,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_20273_06_25_2023,tomato,plant,1,1.0,4,Tomato_Fertilizer_Trial,138996,0.00048509897824425903,0.04090832787714234,3397743.3743427205
02,Sampling_06_24_2023,Garden_Plots,06_24_2023,gp_02_06_24_2023,tomato,plant,1,1.0,1,Garden_Plots,267818,0.0006309324306238984,0.18045874792399758,1484095.4128352639
03,Sampling_06_24_2023,Garden_Plots,06_24_2023,gp_03_06_24_2023,tomato,plant,1,1.0,4,Garden_Plots,416071,0.0004742120607702416,0.1512032672323574,2751732.8667284315
03,Sampling_08_02_2023,Garden_Plots,08_02_2023,gp_03_08_02_2023,tomato,plant,1,1.0,4,Garden_Plots,174814,0.0009100738263444355,0.1768596665073861,988433.3915822426
03,Sampling_08_12_2023,Garden_Plots,08_12_2023,gp_03_08_12_2023,tomato,plant,1,1.0,4,Garden_Plots,286952,0.0009041092041741025,0.2665210002665884,1076658.123423578
03,Sampling_08_25_2023,Garden_Plots,08_25_2023,gp_03_08_25_2023,tomato,plant,1,1.0,4,Garden_Plots,207425,0.0007854185590542588,0.28767130729465384,721048.6229950638
