sample_id,sampling_age,aboveground_veg_biomass,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol,predicted_aboveground_veg_biomass,error_aboveground_veg_biomass,abs_error_aboveground_veg_biomass,perc_error_aboveground_veg_biomass,relative_residuals_aboveground_veg_biomass,parameter,species,leaf_biomass,predicted_leaf_biomass,error_leaf_biomass,abs_error_leaf_biomass,perc_error_leaf_biomass,relative_residuals_leaf_biomass,leaf_no,predicted_leaf_no,error_leaf_no,abs_error_leaf_no,perc_error_leaf_no,relative_residuals_leaf_no,shoot_biomass,predicted_shoot_biomass,error_shoot_biomass,abs_error_shoot_biomass,perc_error_shoot_biomass,relative_residuals_shoot_biomass,shoot_no,predicted_shoot_no,error_shoot_no,abs_error_shoot_no,perc_error_shoot_no,relative_residuals_shoot_no
gp_15_06_24_2023,4,,0.006944,0.0028,0.00123975,0.000346176,8.254e-05,0.0228593315602132,,,,,,leaf_biomass,watermelon,3.13,7.6701161992,-4.5401161992,4.5401161992,145.05163575718848,-145.0516357571885,,,,,,,,,,,,,,,,,,
gp_13_08_02_2023,9,,0.25244,0.117191,0.042914125,0.005014024,0.000670452,1.1254362542637792,,,,,,leaf_biomass,watermelon,253.83,278.837000767,-25.007000766999994,25.007000766999994,9.851869663554345,-9.851869663554345,,,,,,,,,,,,,,,,,,
gp_11_09_14_2023,15,,0.379336,0.129834,0.022094375,0.00159784,0.000208477,2.683866213860796,,,,,,leaf_biomass,watermelon,404.11,419.00218872979997,-14.892188729799955,14.892188729799955,3.685181938036662,-3.6851819380366617,,,,,,,,,,,,,,,,,,
ta_Sugar_Baby_Day_Zero,0,,0.003008,0.001381,0.0006145,0.000191568,4.6637e-05,0.0066688144484401,,,,,,leaf_biomass,watermelon,1.11,3.3225388143999997,-2.2125388143999993,2.2125388143999993,199.32782111711705,-199.32782111711703,,,,,,,,,,,,,,,,,,
gp_22_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,leaf_biomass,watermelon,11.35,14.933751586,-3.583751586,3.583751586,31.57490384140969,-31.574903841409693,,,,,,,,,,,,,,,,,,
gp_14_08_02_2023,9,,0.243432,0.091349,0.026932,0.002689344,0.000352561,2.1348638390091224,,,,,,leaf_biomass,watermelon,293.97,268.8870574026,25.082942597400006,25.082942597400006,8.53248378997857,8.53248378997857,,,,,,,,,,,,,,,,,,
gp_10_09_14_2023,15,,0.209352,0.081154,0.016929,0.001277632,0.000168238,1.310880798715461,,,,,,leaf_biomass,watermelon,245.22,231.2433995586,13.976600441399995,13.976600441399995,5.699616850746267,5.699616850746267,,,,,,,,,,,,,,,,,,
gp_24_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,leaf_no,watermelon,,,,,,,43.0,62.175751810257566,-19.175751810257566,19.175751810257566,44.59477165176178,-44.59477165176178,,,,,,,,,,,,
gp_15_06_24_2023,4,,0.006944,0.0028,0.00123975,0.000346176,8.254e-05,0.0228593315602132,,,,,,leaf_no,watermelon,,,,,,,34.0,37.364518132111,-3.3645181321110016,3.3645181321110016,9.895641565032358,-9.895641565032358,,,,,,,,,,,,
gp_13_08_02_2023,9,,0.25244,0.117191,0.042914125,0.005014024,0.000670452,1.1254362542637792,,,,,,leaf_no,watermelon,,,,,,,758.0,758.5390001373231,-0.5390001373231144,0.5390001373231144,0.07110819753603091,-0.07110819753603091,,,,,,,,,,,,
